mnenomics,rgdp_sa,rgdp_noil_sa,rgdp_tradable_sa,rgdp_ntradable_sa,gdp_nom_sa,gdp_nom_noil_sa,gdp_nom_tradable_sa,gdp_nom_ntradable_sa,gdp_def_sa,gdp_noil_def_sa,gdp_tradable_def_sa,gdp_ntradable_def_sa,rgdp_tradable_def_sa,rgdp_ntradable_def_sa,cons_sa,inv_sa,gov_sa,ex_sa,im_sa,of_sa,fut_sa,oil_prod_sa,oil_price_sa,real_oil_price_sa,cpi_sa,inf_sa,noil_inf_sa,tradable_inf_su,non-tradable_inf_su,cpi_us_sa,w_nom_sa,real_w_nom_sa,lf_sa,gov_dep_sa,nfa_sa,res_mon_sa,mu_sa,fx_rate_sa,len_i_rate_sa,neer_sa,n_o_import_neer_sa,tp_cpi_sa
2015Q1,"7,418.40","3,668.94",681.87,"2,981.29","13,156.37","8,688.95","1,481.87","7,193.47",181.54,239.24,219.44,243.05,100.5398452,109.1878626,6783.05,3788.01,1617.62,5472.61,3883.67,34930.5,1942,10700,54.05,23.01,225.09,96.17308133,101.256896,95.49327689,101.5997761,235.36,200.15,2,4848.44,-4949.7,12192.78,9194.29,1676.14,0.9,17.39,101.9,138.98,290.79
2015Q2,"7,364.99","3,683.28",690.04,"2,999.45","13,896.33","8,960.47","1,574.77","7,379.81",192.39,246.3,228.64,249.33,99.84912964,108.7733644,7375.21,3872.25,1620.37,5071.12,4273.37,35783.3,1620,10300,62.1,26.13,228.73,110.7654319,102.0817225,106.0448048,102.2978259,236.96,198.71,1.99,4865.6,-4642.9,10931.81,7914.12,1517.02,1.05,19.5,99.63,133.91,296.25
2015Q3,"7,321.69","3,684.96",692.33,"2,985.00","13,526.06","8,876.78","1,536.17","7,341.97",188.39,245.13,222.53,249.47,96.28978156,108.1703871,7945.7,3837.61,1739.76,5179.94,5187.44,34738.1,2088,10400,50.03,20.99,229.24,98.20075995,102.2263147,98.35669042,102.6695462,237.85,199.13,1.99,4883.98,-5495.8,9848.63,7568.94,3081.48,1.05,18.75,103.33,143.9,300.67
2015Q4,"7,332.89","3,695.72",697.08,"2,982.58","13,835.35","8,831.88","1,448.72","7,357.26",191.65,243.52,209.76,250.63,91.90975362,107.3508281,8383.63,3709.47,1759.62,5433.43,5538.82,33574.1,2480,10300,43.42,18.3,231.75,99.41895708,102.9437544,94.57299073,103.5474602,237.84,198.3,1.98,4905,-5877.5,11395.08,7159.84,2043.05,1.11,14.51,89.75,127.63,305.44
2016Q1,"7,178.61","3,417.82",694.73,"2,739.80","14,368.62","9,145.68","1,544.06","7,587.85",204.93,268.04,224.22,277.21,91.05917706,110.7446454,8483.94,3822.73,1868.03,6172.84,6585.19,34246,1660,10500,34.36,14.47,249.83,112.3332634,104.3147335,109.0177922,104.8770095,237.69,193.87,1.94,4925.35,-6149,10347.08,7612.18,3203.88,1.58,15.84,68.24,98.3,307.54
2016Q2,"7,160.08","3,439.68",695.79,"2,746.55","14,917.89","9,147.99","1,579.57","7,576.54",212.77,268.47,228.04,278.5,90.10283295,111.6648796,8854.43,3743.46,1927.7,6925.18,6818.45,35117.9,100,10600,45.95,19.13,252.32,107.5504072,103.4782198,102.8924477,104.4511164,239.59,192.5,1.92,4946.69,-6067.4,11317.06,8402.67,3088.33,1.51,17.37,71.29,100.65,311.12
2016Q3,"7,133.63","3,469.16",698.01,"2,760.80","15,355.76","9,255.49","1,564.49","7,699.78",219.82,270.92,225.63,283.31,88.88703804,109.0814997,8830.86,3791.54,1934.73,7200.55,6416.75,35822.1,1500,10200,45.8,19.01,257.59,102.3433778,103.3771902,99.40760693,104.2139856,240.61,188.66,1.88,4965.93,-7123.6,11378.23,8141.77,3731.29,1.6,13.05,66.76,93.23,315.24
2016Q4,"7,117.69","3,504.16",701.95,"2,785.04","15,767.29","9,532.49","1,717.28","7,853.71",225.38,276.64,244.8,285.11,90.00498849,105.9011335,9484.27,3832.98,2001.11,7704.47,6900.48,33147,4355,9700,50.08,20.74,268.86,101.336477,103.3519053,110.3712583,103.8600353,242.14,184.3,1.84,5003.06,-3094.6,11872.46,8789.33,454.96,1.68,17.88,66.29,92.63,319.35
2017Q1,"7,134.72","3,548.88",699.41,"2,819.14","17,052.87","9,992.58","1,738.32","8,256.39",244.26,283.57,251.49,294.44,89.59166236,106.0774245,9649.59,4006.85,1967.46,8197.55,7318.13,33207.2,1525,9500,54.12,22.23,282.81,114.934411,102.8332826,104.0202775,103.4718976,243.75,181.69,1.82,5021.23,-840.9,12889.12,9812.83,-2490.83,1.78,18.94,66.41,92.85,322.78
2017Q2,"7,146.31","3,582.83",708.71,"2,840.75","17,333.88","10,342.60","1,766.22","8,586.86",246.97,292.79,251.72,306.7,88.36344511,104.8715599,10006.91,4106.55,1981.54,8084.25,7376.42,34790.9,1466,9700,50.28,20.54,288.91,102.880696,102.6134779,100.837623,102.5553174,244.19,179,1.79,5037.6,-530.4,12773.09,10570.85,-1716.83,1.7,19.45,65.66,91.1,326.48
2017Q3,"7,159.48","3,610.01",715.1,"2,861.82","17,765.83","10,475.86","1,871.98","8,612.63",253.12,294.32,261.97,305.5,89.39958121,103.7641313,10456.67,4169.99,2018.24,8666.2,7460.47,36020,1309,9600,51.74,21.06,292.7,101.7608079,101.8115465,105.2045383,101.4291402,245.35,178.45,1.78,5053.67,-774.7,11614.31,10229.52,-807.39,1.7,19.73,64.14,89.07,330
2017Q4,"7,177.44","3,630.84",721.17,"2,869.68","18,025.66","10,328.05","1,919.61","8,448.34",256.32,286.97,266.87,295.57,90.18843102,100.0826176,10462.79,4113.9,2014.34,9189.41,7351.07,35806.5,1800,10000,61.47,24.92,296.3,101.8923529,101.0895986,103.5380913,100.6890565,247.26,178.69,1.79,5070.16,-938.8,12012.44,9416.55,-1201,1.7,20.09,65.91,93.53,334.47
2018Q1,"7,192.52","3,649.48",731.18,"2,885.77","19,202.35","10,445.13","1,910.53","8,546.89",272.77,289.33,264.4,298.9,90.63035853,100.5327373,10679.01,4146.38,2032.03,9700.15,7527.15,37631.7,2299,9700,66.95,26.91,294.37,111.0830604,101.2318667,99.95340877,100.9446168,249.18,178.1,1.78,5085.25,-1002.8,11429.06,11080.76,356.69,1.7,19.13,64.4,91.84,337.03
2018Q2,"7,243.87","3,662.83",735.84,"2,884.59","19,682.13","10,560.22","1,969.77","8,600.90",276.62,292.62,268.92,301.61,91.22828906,102.9353182,10778.54,4217.03,2106.42,10727.3,7602.17,38036.1,2309,9600,74.49,29.63,295.22,102.4214285,101.3672089,102.8436299,101.7489914,250.74,180.75,1.8,5101.97,-1612.9,11290.36,9707.32,-3.05,1.7,19.12,68.61,96.77,343.85
2018Q3,"7,273.87","3,695.13",764.21,"2,897.45","20,095.18","10,752.95","2,017.60","8,733.04",281.57,294.8,265.93,305.2,90.47127903,102.3038127,10973.01,4319.02,2088.99,11066.01,7449.77,38987.7,3180,9700,75.48,29.93,298.2,102.0507969,101.4921892,99.7271948,102.0381917,251.76,181.79,1.81,5117,-1396.6,11015.8,9939.01,134.8,1.7,20.73,73.71,105.49,355.31
2018Q4,"7,337.53","3,736.66",775.17,"2,938.45","20,660.62","10,909.80","2,063.52","8,852.20",287.76,295.52,269.27,305.25,90.36156995,101.7887325,11003.67,3614.4,2149.71,11396.22,7499,38515.2,3171,9800,67.37,26.73,300.03,105.022582,101.4626425,102.9983434,101.9550396,252.74,181.85,1.83,5131.66,-1142.5,11399.76,10139.05,386.42,1.7,18.2,72.56,104.2,357.9
2019Q1,"7,387.45","3,765.33",793.16,"2,927.98","20,002.24","10,958.89","2,166.62","8,827.24",276.37,296.43,273.4,305.54,90.60586435,101.9173042,11445.59,4196.01,2240.27,10635.59,6908.04,40273.3,2615,9700,63.27,25.02,300.93,97.91230179,101.6047357,102.5784359,102.122423,253.19,187.69,1.88,5144.67,-1957.7,11455.55,10039.4,237.06,1.7,18.1,72.41,103.95,361.54
2019Q2,"7,455.00","3,817.35",828.27,"2,996.48","21,068.93","11,385.20","2,222.37","9,180.31",288.36,297.98,267.89,309.01,89.09578877,101.2073926,11725.05,4286.6,2253.75,10394.77,7932.73,42463.7,1798,9100,68.34,26.7,304.18,103.7276774,101.7187782,98.89854065,102.0618633,255.37,190.1,1.89,5159.45,-3298.8,11566.98,11287.52,2987.39,1.7,18.45,73.36,103.95,366.3
2019Q3,"7,507.77","3,859.01",826.92,"2,997.77","20,094.44","11,353.45","2,176.06","9,162.21",272.77,296.06,267.35,307.02,88.98976613,100.3837365,11569.14,4072.57,2015.86,10105.68,7711.34,42524.4,3123,9400,61.86,24.1,306.94,96.88286129,101.809914,100.7027201,102.0780562,256.19,194.77,1.93,5175.13,-3561.6,12077.01,11704.23,2982.84,1.7,17.36,74.04,103.91,372.19
2019Q4,"7,440.30","3,898.29",831.09,"2,979.33","20,437.04","11,832.72","2,321.21","9,507.30",280.48,311.66,281.45,323.36,89.98113588,104.299941,12149.05,4205.23,2583.34,9480.05,7539.51,43323.3,3828,9300,62.66,24.36,307.98,107.2452041,102.3851895,107.2182083,102.8340371,257.86,202.46,2.04,5187.7,-2338.5,12052.12,12474.07,3411.61,1.7,17.64,73.42,104.7,375.53
2020Q1,"7,381.87","3,953.25",852.35,"2,972.74","19,519.20","11,789.78","2,323.85","9,466.08",267.56,308.23,270.69,321.59,88.71693954,103.6679735,11473.24,4127.35,2683.72,9582.82,7571.04,41349.5,4631,9303.8,50.51,19.56,310.14,95.65813239,101.7421106,96.7189509,102.2481809,258.5,234.14,2.35,5201.45,-4744.21,13179.5,11745.24,2925.45,1.7,16.78,76.56,110.81,377.38
2020Q2,"7,227.55","3,672.43",854.25,"2,893.12","17,607.55","11,441.89","2,334.46","9,106.93",248.96,305.94,275.28,317.62,88.33461234,101.7816922,10918.21,4023.59,2863.44,5508.91,6296.01,43223.4,1044,8593.5,29.34,11.42,313.41,91.33349817,101.5986898,103.3209832,102.0908444,256.47,230.18,2.3,5214.72,-3894.09,12838.07,12789.16,3810.74,1.7,15.68,76.34,109.02,381.27
2020Q3,"7,089.99","3,716.76",872.29,"2,847.89","17,943.71","11,560.47","2,322.30","9,213.20",259.82,312.32,274.26,328.04,87.09707992,104.0653381,11128.29,4077.39,2935.98,5540.19,6520.84,43288.6,3177.5,8206.8,42.96,16.54,315.21,108.0948182,101.7237972,100.7155598,102.4780871,259.42,226.23,2.25,5230.72,-3065.69,12248.12,13475.6,4051.18,1.7,16.8,76.91,110.14,385.97
2020Q4,"7,012.80","3,764.12",906.36,"2,787.81","17,472.69","11,464.04","2,340.57","9,125.81",256.1,312.46,260.79,332.38,85.32611857,104.3707543,10521.06,4140,3015.17,5713.9,6322.13,43564.3,3949.5,8481.3,44.29,17.01,315.69,103.2532164,101.4769058,95.63982387,102.2286984,260.98,222.58,2.23,5247.38,-2662.35,14746.79,14298.08,2968.44,1.7,15.74,75.6,110.04,393.05
2021Q1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42761.3,2513.7,8816.4,60.82,23.11,322.34,NaN,NaN,NaN,NaN,263.39,219.36,2.2,5264.8,-3112.95,14671.79,15322.11,3262.15,1.7,15.95,75.9,110.7,399.7
